,ref_ans_id,referenceAnswer,stu_ans_id_new,studentAnswer,accuracy
0,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_0,By letting it sit in a dish for a day.,incorrect
1,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_1,Let the water evaporate and the salt is left behind.,correct
2,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_2,The water evaporated and left salt crystals.,correct
3,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_3,I saw a pinkish grayish color that was blocking the water.,incorrect
4,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_4,You have to slowly tip the vial for only the water to go.,incorrect
5,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_5,"By pouring the water and salt into the thing, and letting the water evaporate.",correct
6,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_6,By slowly pouring it in a tray.,incorrect
7,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_7,The water evaporated so there was only salt left.,correct
8,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_8,We put the water with the salt in it and put it outside for the water to evaporate.,correct
9,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_9,I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,incorrect
10,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_10,Because you can see salt in water.,incorrect
11,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_11,I let the water evaporate.,correct
12,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_12,The water dried up and left the salt.,correct
13,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_13,We let the water evaporate.,correct
14,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_14,The water dried up.,correct
15,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_15,You just get water and the smashed mock rock and put the smashed rock and water together.,incorrect
16,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_16,"You put the water, a little bit, in a cup and leave it overnight.",incorrect
17,refAns_0,"The water was evaporated, leaving the salt.",stuAns_0_17,We evaporated the salt from the water because the water evaporated and separated.,correct
